Date,Phase,Content Theme
2025-10-10,Pre-Launch,Announcement Teaser: 'Something is coming...'
2025-10-11,Pre-Launch,Behind-the-scenes: Warum matbakh.app?
2025-10-12,Pre-Launch,Pain Point Post: 'Wirst du online überhaupt gefunden?'
2025-10-13,Pre-Launch,Wissenspost: Wie 'digitale Sichtbarkeit' gemessen wird
2025-10-14,Pre-Launch,Founder Insight: Was ist Vibe Coding?
2025-10-15,Pre-Launch,Emotional Storytelling: Solo Sarah’s Kampf um Sichtbarkeit
2025-10-16,Pre-Launch,Reminder: In 3 Tagen passiert etwas Großes
2025-10-17,Pre-Launch,Quick Poll: 'Was ist dir wichtiger: Sichtbarkeit oder Preis?'
2025-10-18,Pre-Launch,Marktanalyse: Wie viele Gäste kommen durch Google?
2025-10-19,Pre-Launch,Launch Teaser: 'Morgen ist es so weit!'
2025-10-20,Launch,🚀 Launch: matbakh.app ist live – Sichtbarkeit beginnt hier
2025-10-21,Launch,Feature Benefit: Sichtbarkeit ≠ Zufall – Dein Booster für Gäste
2025-10-22,Launch,Sport-Vergleich: Championsleague spielen statt Kreisklasse
2025-10-23,Launch,Tutorial-Snippet: So funktioniert der VC (Visibility Check)
2025-10-24,Launch,Social Proof: Erste Nutzerstimmen / Kommentare
2025-10-25,Launch,Employer Branding: Ein Arbeitsplatz für die digitale Generation
2025-10-26,Launch,Post im Karussell-Format: Die 5 häufigsten Sichtbarkeitsfehler
2025-10-27,Launch,Metapher: Ferrari oder Trabant? Sichtbarkeit entscheidet.
2025-10-28,Launch,Mini-Case Study: Was der VC über ein Restaurant verriet
2025-10-29,Launch,Call to Action: Jetzt kostenlos VC durchführen
